Material,Material Description,Plant,Storage Location,Movement Type,Posting Date,Qty in Un. of Entry,Unit of Entry,Movement Type Text,Document Date,Qty in OPUn,Order Price Unit,Order Unit,Qty in order unit,Entry Date,Amount in LC,Purchase Order,Movement indicator,Base Unit of Measure,Quantity,Material Doc. Year,Debit/Credit ind,Trans./Event Type,Material Type,Vendor Code
31000001,CHEMICAL-SMBS,8110,UTL,101,2021-02-02,500,KG,GR goods receipt,2021-02-01,500,KG,KG,500,2021-02-02,33500,4400048277.0,B,KG,500,2021,S,WE,ZCON,54540.0
31000001,CHEMICAL-SMBS,8110,UTL,101,2020-12-31,200,KG,GR goods receipt,2020-12-31,200,KG,KG,200,2020-12-31,13400,4400047224.0,B,KG,200,2020,S,WE,ZCON,54540.0
31000002,SODIUM HYPO CHLORITE,8320,RD01,101,2020-12-23,300,KG,GR goods receipt,2020-12-22,300,KG,KG,300,2020-12-23,11850,4400047147.0,B,KG,300,2020,S,WE,ZCON,50402.0
31000002,SODIUM HYPO CHLORITE,8320,RD01,101,2020-05-07,300,KG,GR goods receipt,2020-05-07,300,KG,KG,300,2020-05-07,9396,4400041487.0,B,KG,300,2020,S,WE,ZCON,53595.0
31000003,HARDNESS TEST KIT,8110,UTL,101,2020-09-09,3,NO,GR goods receipt,2020-09-03,3,NO,NO,3,2020-09-09,4437,4400042542.0,B,NO,3,2020,S,WE,ZCON,50424.0
31000003,HARDNESS TEST KIT,8110,BOIS,101,2020-07-29,5,NO,GR goods receipt,2020-07-22,5,NO,NO,5,2020-07-29,7395,4400043489.0,B,NO,5,2020,S,WE,ZCON,51096.0
31000003,HARDNESS TEST KIT,8320,RD01,101,2020-08-14,1,NO,GR goods receipt,2020-07-17,1,NO,NO,1,2020-08-14,1479,4400042051.0,B,NO,1,2020,S,WE,ZCON,50424.0
31000009,"FLANGE MS ,10'' F/E",8110,HVAC,101,2020-09-10,8,NO,GR goods receipt,2020-09-09,8,NO,NO,8,2020-09-10,8400,4400045287.0,B,NO,8,2020,S,WE,ZCON,50424.0
31000012,"SILICON SEALENT  WHITE,",8110,CCPJ,101,2021-02-13,50,NO,GR goods receipt,2021-02-12,50,NO,NO,50,2021-02-13,7250,4400048149.0,B,NO,50,2021,S,WE,ZCON,55331.0
31000012,"SILICON SEALENT  WHITE,",8110,HVAC,101,2020-05-22,40,NO,GR goods receipt,2020-05-22,40,NO,NO,40,2020-05-22,5800,4400041837.0,B,NO,40,2020,S,WE,ZCON,54080.0
